Row Type,Action,Keyword status,Customer ID,Level,Campaign ID,Campaign,Ad group ID,Ad group,Keyword ID,Negative keyword,Type
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-France,,,,acheter,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-France,,,,achat,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-France,,,,à vendre,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-France,,,,a vendre,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-France,,,,buy,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-France,,,,kaufen,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-France,,,,comprar,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-France,,,,pas cher,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-France,,,,pas chère,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-France,,,,bon marché,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-France,,,,promo,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-France,,,,location vacances,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-France,,,,hotel,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-France,,,,hôtel,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-France,,,,emploi,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-France,,,,travail,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-France,,,,recrutement,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-France,,,,vol,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-France,,,,voyage,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-France,,,,restaurant,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-France,,,,que visiter,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-France,,,,que faire à marrakech,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-Diaspora,,,,acheter,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-Diaspora,,,,achat,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-Diaspora,,,,à vendre,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-Diaspora,,,,a vendre,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-Diaspora,,,,buy,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-Diaspora,,,,kaufen,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-Diaspora,,,,comprar,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-Diaspora,,,,pas cher,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-Diaspora,,,,pas chère,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-Diaspora,,,,bon marché,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-Diaspora,,,,promo,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-Diaspora,,,,location vacances,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-Diaspora,,,,hotel,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-Diaspora,,,,hôtel,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-Diaspora,,,,emploi,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-Diaspora,,,,travail,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-Diaspora,,,,recrutement,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-Diaspora,,,,vol,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-Diaspora,,,,voyage,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-Diaspora,,,,restaurant,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-Diaspora,,,,que visiter,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - FR-Diaspora,,,,que faire à marrakech,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - Maroc,,,,acheter,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - Maroc,,,,achat,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - Maroc,,,,à vendre,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - Maroc,,,,a vendre,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - Maroc,,,,buy,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - Maroc,,,,kaufen,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - Maroc,,,,comprar,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - Maroc,,,,pas cher,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - Maroc,,,,pas chère,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - Maroc,,,,bon marché,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - Maroc,,,,promo,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - Maroc,,,,location vacances,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - Maroc,,,,hotel,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - Maroc,,,,hôtel,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - Maroc,,,,emploi,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - Maroc,,,,travail,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - Maroc,,,,recrutement,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - Maroc,,,,vol,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - Maroc,,,,voyage,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - Maroc,,,,restaurant,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - Maroc,,,,que visiter,Phrase match
Negative keyword,Add,Enabled,407-193-7268,Campaign,,Atlas Rouge - Maroc,,,,que faire à marrakech,Phrase match
