Row Type,Action,Customer ID,Keyword status,Campaign ID,Campaign,Ad group ID,Ad group,Keyword ID,Keyword,Type,Label,Default max. CPC,Max. CPV,Final URL,Mobile final URL,Final URL suffix,Tracking template,Custom parameter
Keyword,Remove,407-193-7268,,,Atlas Rouge - FR-France,,A - Vendre,,agence pour vendre appartement marrakech,Phrase match,,,,,,,,
Keyword,Remove,407-193-7268,,,Atlas Rouge - FR-France,,A - Vendre,,vendre mon appartement à marrakech,Exact match,,,,,,,,
Keyword,Remove,407-193-7268,,,Atlas Rouge - FR-France,,A - Vendre,,vendre ma villa à marrakech,Exact match,,,,,,,,
Keyword,Remove,407-193-7268,,,Atlas Rouge - FR-France,,A - Vendre,,je veux vendre mon bien à marrakech,Exact match,,,,,,,,
Keyword,Remove,407-193-7268,,,Atlas Rouge - FR-France,,A - Vendre,,vendre propriété marrakech,Phrase match,,,,,,,,
Keyword,Remove,407-193-7268,,,Atlas Rouge - FR-France,,A - Vendre,,comment vendre appartement marrakech,Phrase match,,,,,,,,
Keyword,Remove,407-193-7268,,,Atlas Rouge - FR-Diaspora,,A - Vendre,,agence pour vendre appartement marrakech,Phrase match,,,,,,,,
Keyword,Remove,407-193-7268,,,Atlas Rouge - FR-Diaspora,,A - Vendre,,vendre mon appartement à marrakech,Exact match,,,,,,,,
Keyword,Remove,407-193-7268,,,Atlas Rouge - FR-Diaspora,,A - Vendre,,vendre ma villa à marrakech,Exact match,,,,,,,,
Keyword,Remove,407-193-7268,,,Atlas Rouge - FR-Diaspora,,A - Vendre,,je veux vendre mon bien à marrakech,Exact match,,,,,,,,
Keyword,Remove,407-193-7268,,,Atlas Rouge - FR-Diaspora,,A - Vendre,,vendre propriété marrakech,Phrase match,,,,,,,,
Keyword,Remove,407-193-7268,,,Atlas Rouge - FR-Diaspora,,A - Vendre,,comment vendre appartement marrakech,Phrase match,,,,,,,,
Keyword,Remove,407-193-7268,,,Atlas Rouge - Maroc,,A - Vendre,,agence pour vendre appartement marrakech,Phrase match,,,,,,,,
Keyword,Remove,407-193-7268,,,Atlas Rouge - Maroc,,A - Vendre,,vendre mon appartement à marrakech,Exact match,,,,,,,,
Keyword,Remove,407-193-7268,,,Atlas Rouge - Maroc,,A - Vendre,,vendre ma villa à marrakech,Exact match,,,,,,,,
Keyword,Remove,407-193-7268,,,Atlas Rouge - Maroc,,A - Vendre,,je veux vendre mon bien à marrakech,Exact match,,,,,,,,
Keyword,Remove,407-193-7268,,,Atlas Rouge - Maroc,,A - Vendre,,vendre propriété marrakech,Phrase match,,,,,,,,
Keyword,Remove,407-193-7268,,,Atlas Rouge - Maroc,,A - Vendre,,comment vendre appartement marrakech,Phrase match,,,,,,,,
